customer_id,acquisition_source,country,date_first_deposit_id,date_registration_id,gender,date_transaction_id,count_deposit,sum_free_spin,sum_deposit,sum_bonus_cost,sum_ngr,sum_bet_real,sum_bet_bonus,sum_win_real,sum_win_bonus
1248,0,United Kingdom,20100614,20100614,Male,20100829,0,0,0,0,0.216,0.216,0,0,0
1322,0,Sweden,20100621,20100615,Male,20100829,1,0,16.83,0,16.611,72.325,0,55.714,0
154,1,Germany,20100610,20091110,Male,20100907,0,1,0,0,-0.01,1.05,0,0.06,1
1854,1,Germany,20100625,20100624,Female,20100909,1,0,100,0,99.5,1282,0,1182.5,0
383,0,United Kingdom,20100601,20100601,Female,20100601,4,0,412.35,316.105,-141.552,98.616,2649.71,246.188,2729.894
701,0,Norway,20100606,20100606,Male,20100606,1,0,53.92,0,0,0,0,0,0
154,1,Germany,20100610,20091110,Male,20100610,1,0.2,20,20,20.04,0.24,49.14,0,29.34
238,0,Norway,20100611,20100326,Male,20100611,2,0,43.09,0,0,0,0,0,0
383,0,United Kingdom,20100601,20100601,Female,20100612,1,0,115.69,45.148,113.065,2.517,112.725,2.336,67.564
510,0,United Kingdom,20100603,20100603,Male,20100612,1,0,23.19,0,20.52,28.563,0,8.043,0
530,0,United Kingdom,20100603,20100603,Male,20100612,0,0,0,0,7.564,7.564,0,0,0
573,1,United Arab Emirates,20100612,20100604,Female,20100612,1,0,30.75,0,0,0,0,0,0
1272,1,Finland,20100614,20100614,Male,20100614,4,36.51,90,62.5,89.74,230.5,505.45,113.25,540.46
614,0,United Kingdom,20100605,20100604,Male,20100616,3,0,465.84,0,456.402,1573.412,0,1117.01,0
723,0,Austria,20100606,20100606,Male,20100616,0,1.09,0,0,0.11,1.2,0,0,1.09
1373,1,United Kingdom,20100616,20100616,Female,20100616,14,13.18,326.06,0,317.827,2087.994,0,1756.987,13.18
1379,1,Finland,20100616,20100616,Male,20100616,1,0,300,0,0,0,0,0,0
928,1,Austria,20100609,20100609,Male,20100618,2,0.8,30,0,30,131.31,0,100.51,0.8
1597,1,Sweden,20100620,20100620,Male,20100620,1,3.533,52.48,0,-0.348,205.67,0,204.739,1.28
1886,1,Netherlands,20100625,20100625,Male,20100625,1,0,100,100,100,0,100,0,0
1909,1,Norway,20100625,20100625,Female,20100627,2,0,65,0,276.744,2041.278,0,1764.535,0
1880,1,Finland,20100625,20100625,Male,20100702,1,0,20,0,20.4,20.4,0,0,0
274,1,Canada,20100615,20100506,Female,20100704,0,0.788,0,0,0.014,1.086,0,0.285,0.788
2175,1,Finland,20100630,20100630,Male,20100704,0,0,0,0,-76.5,0,0,0,76.5
2179,1,United Kingdom,20100630,20100630,Male,20100704,0,30.97,0,0,150.459,852.775,0,671.312,30.97
1423,1,Netherlands,20100617,20100617,Male,20100712,6,0,100,0,-9.84,224.85,0,234.69,0
928,1,Austria,20100609,20100609,Male,20100714,2,1,30,0,29.99,97.3,0,66.31,1
1255,0,Germany,20100614,20100614,Female,20100714,0,0,0,-100,100,0,0,0,0
1423,1,Netherlands,20100617,20100617,Male,20100719,6,11.35,130,0,-40.08,912.1,0,940.83,11.35
1620,1,New Zealand,20100620,20100620,Male,20100719,2,0,13.1,7.991,16.901,0.058,56.571,0,48.638
274,1,Canada,20100615,20100506,Female,20100721,0,0.144,0,0,35.611,866.723,0,830.969,0.144
170,1,Norway,20100623,20091210,Female,20100724,0,3.367,0,0,-0.088,207.871,0,204.592,3.367
1423,1,Netherlands,20100617,20100617,Male,20100725,0,0,0,0,2.31,19.65,0,17.34,0
1568,0,Germany,20100619,20100619,Female,20100725,0,0.05,0,0,0.04,0.09,0,0,0.05
406,0,United Kingdom,20100601,20100601,Male,20100726,1,0,17.23,0,16.728,564.281,0,547.554,0
614,0,United Kingdom,20100605,20100604,Male,20100727,2,0,689.41,0,0.452,640.407,0,639.955,0
860,0,Sweden,20100608,20100608,Male,20100727,1,0.146,52.1,104.2,51.141,0.188,249.872,0,146.818
986,1,United Kingdom,20100609,20100609,Male,20100727,0,0,0,0,0.225,0.225,0,0,0
4542,0,United Kingdom,20110623,20110623,Male,20110629,2,3.435,22.6,0,-1.062,10.622,0,8.249,3.435
2483,1,Norway,20110601,20110601,Male,20110701,1,0,104.8,0,105.005,540.445,0,435.44,0
2569,1,United Kingdom,20110603,20110603,Female,20110701,1,0,112.84,0,-207.626,198.373,0,405.998,0
4361,1,Isle of Man,20110620,20110620,Male,20110703,0,0,0,0,-1052.016,0,0,1052.016,0
4743,1,United Kingdom,20110626,20110626,Male,20110703,2,0,90.45,0,113.03,113.03,0,0,0
4768,0,Germany,20110626,20110626,Male,20110703,2,0,20,0,20.08,45.77,0,25.69,0
4542,0,United Kingdom,20110623,20110623,Male,20110704,1,10.037,11.34,0,-62.687,17.36,0,70.011,10.037
3436,0,United Kingdom,20110613,20110613,Male,20110705,1,0,11.31,0,11.309,11.309,0,0,0
3537,0,United Kingdom,20110613,20110613,Male,20110705,1,0,11.31,0,28.682,28.682,0,0,0
3982,0,United Kingdom,20110616,20110616,Male,20110706,2,0.249,22.6,0,-11.654,11.291,0,22.696,0.249
4184,0,Germany,20110619,20110619,Male,20110706,0,0,0,0,12.5,0,30,0,17.5
4318,1,United Kingdom,20110620,20110620,Male,20110706,0,0,0,0,136.109,271.94,0,135.831,0
5025,1,United Kingdom,20110629,20110629,Female,20110709,0,0,0,0,-24.067,43.229,0,67.296,0
2240,0,United Kingdom,20110613,20101017,Male,20110713,0,0,0,-0.183,0.183,0,0,0,0
4184,0,Germany,20110619,20110619,Male,20110713,0,0,0,0,28,0,45,0,17
4542,0,United Kingdom,20110623,20110623,Male,20110713,1,4.156,11.33,0,-3.16,0.997,0,0,4.156
4081,0,Germany,20110617,20110617,Male,20110715,1,0,20,0,20,27.2,0,7.2,0
4184,0,Germany,20110619,20110619,Male,20110715,0,0,0,0,-23.25,2.62,54.38,6.03,74.22
4361,1,Isle of Man,20110620,20110620,Male,20110715,0,0,0,0,-2687.014,110.818,0,2797.833,0
4081,0,Germany,20110617,20110617,Male,20110722,1,0,30,0,29.85,281.2,0,251.35,0
4361,1,Isle of Man,20110620,20110620,Male,20110722,0,0,0,0,-731.468,0,0,731.468,0
2861,1,Sweden,20110607,20110607,Male,20110607,2,0.488,19.5,0,10.572,241.059,0,229.87,0.488
2862,1,Germany,20110607,20110607,Male,20110607,2,33.9,72,42,-178.02,707.68,70.02,893.8,61.92
2499,0,Finland,20110602,20110602,Male,20110607,0,0.3,0,0,0,0.3,0,0,0.3
2344,0,Ukraine,20110608,20110503,Male,20110608,1,0.272,17,0,-0.272,0,0,0,0.272
2861,1,Sweden,20110607,20110607,Male,20110608,0,0,0,0,8.757,15.86,0,7.103,0
2499,0,Finland,20110602,20110602,Male,20110611,0,0,0,0,0.01,0.01,0,0,0
2564,0,Norway,20110603,20110603,Female,20110611,0,0,0,0,4.748,4.748,0,0,0
2627,0,United Kingdom,20110604,20110604,Male,20110611,0,0,0,0,0,0,0,0,0
3624,0,United Kingdom,20110614,20110614,Male,20110614,1,0,34.12,0,1.137,1.137,0,0,0
3631,1,United Kingdom,20110614,20110614,Male,20110614,1,0,12.48,0,12.481,12.481,0,0,0
2375,1,New Zealand,20110619,20110516,Female,20110619,1,0,11.92,0,11.895,30.156,0,18.261,0
3448,0,United Kingdom,20110613,20110613,Male,20110619,0,2.57,0,0,-2.57,0,0,0,2.57
3537,0,United Kingdom,20110613,20110613,Male,20110619,0,1.826,0,0,9.587,11.413,0,0,1.826
4202,1,United Kingdom,20110619,20110619,Female,20110619,1,0,114.1,114.1,113.728,0,146.056,0,32.269
3770,1,United Kingdom,20110614,20110614,Male,20110621,0,7.053,0,0,-7.053,0,0,0,7.053
4411,0,Finland,20110621,20110621,Male,20110621,1,0,100,100,-100,0,0,0,0
4420,0,United Kingdom,20110621,20110621,Female,20110621,1,0,11.38,0,11.383,11.383,0,0,0
4420,0,United Kingdom,20110621,20110621,Female,20110626,0,0,0,0,11.345,0,11.345,0,0
4453,0,Sweden,20110621,20110621,Male,20110626,0,0,0,0,-622.425,0,0,-1.29,575.365
4542,0,United Kingdom,20110623,20110623,Male,20110626,0,0,0,0,-0.003,14.307,0,14.31,0
4743,1,United Kingdom,20110626,20110626,Male,20110701,2,0,54.16,0,101.714,160.955,0,59.241,0
4089,1,Finland,20110621,20110617,Female,20110703,0,0,0,0,8.58,9.35,0,0,0
4318,1,United Kingdom,20110620,20110620,Male,20110703,0,0,0,0,129.986,270.597,0,139.98,0
4184,0,Germany,20110619,20110619,Male,20110707,0,0,0,0,-32,0,0,0,32
4361,1,Isle of Man,20110620,20110620,Male,20110707,0,0,0,0,452.24,452.24,0,0,0
4542,0,United Kingdom,20110623,20110623,Male,20110707,0,0,0,0,13.003,16.282,0,3.279,0
2344,0,Ukraine,20110608,20110503,Male,20110713,1,1.061,8.56,0,-1.061,0,0,0,1.061
3433,0,United Kingdom,20110615,20110613,Male,20110716,0,24.512,0,0,-24.512,0,0,0,24.512
3436,0,United Kingdom,20110613,20110613,Male,20110716,0,17.096,0,0,-17.096,0,0,0,17.096
157,1,Canada,20110611,20091116,Male,20110721,0,0,0,0,16.209,50.18,0,33.971,0
5025,1,United Kingdom,20110629,20110629,Female,20110722,0,0,0,0,-1.119,5.934,0,7.054,0
2277,0,Sweden,20110630,20110214,Male,20110724,0,5.766,0,0,-0.003,12.585,0,6.822,5.766
2599,0,United Kingdom,20110603,20110603,Female,20110605,0,0,0,11.391,0,0,11.391,0,0
2625,1,United Kingdom,20110604,20110604,Female,20110605,0,0,0,0,11.435,11.435,0,0,0
1393,1,Netherlands,20100616,20100616,Female,20100828,0,7.78,0,0,50.03,517.5,0,459.69,7.78
1503,1,New Zealand,20100618,20100618,Male,20100828,1,0,16.8,6.555,16.327,0,22.565,0,16.063
1315,0,Netherlands,20100615,20100615,Male,20100911,0,0,0,0,50.53,457.46,0,406.93,0
1213,1,Netherlands,20100627,20100613,Female,20100918,1,0,20,0,19.95,46.1,0,26.15,0
359,1,Norway,20100601,20100531,Male,20100601,1,0,21.63,0,0,0,0,0,0
517,0,United Kingdom,20100603,20100603,Male,20100603,1,1.714,58.57,57.14,57.083,2.743,71.996,1.086,16.571
580,0,Norway,20100604,20100604,Male,20100604,1,0,52.65,105.3,-3212.096,2635.26,5717.088,2545.314,8966.48
585,0,United Kingdom,20100604,20100604,Male,20100604,3,3.085,70.2,22.846,-617.135,1029.512,2588.213,976.322,3258.537
634,0,United Kingdom,20100605,20100605,Male,20100605,1,2.47,58.81,57.375,-466.532,1675.731,110.194,2197.207,55.276
642,1,Norway,20100605,20100605,Male,20100605,1,0,52.6,0,0,0,0,0,0
734,1,Finland,20100606,20100606,Female,20100607,3,5.96,60,50,-181.39,149.54,1134.27,160.51,1314.69
1059,1,Norway,20100611,20100611,Male,20100613,0,0,0,10.58,-14.878,0,0,4.298,0
1197,0,Norway,20100613,20100613,Male,20100613,3,0,169.33,227.58,169.27,0,1068.63,0,841.11
1335,1,Netherlands,20100615,20100615,Female,20100615,1,0,100,0,-63.494,2826.65,0,2726.79,0
1341,0,United Kingdom,20100615,20100615,Male,20100615,2,0.682,46.58,22.724,44.642,39.706,54.153,17.111,32.109
1227,1,Germany,20100616,20100613,Male,20100616,1,0,10,0,4.17,50.5,0,46.33,0
1503,1,New Zealand,20100618,20100618,Male,20100619,1,0,6.6,0,0,0,0,0,0
1641,1,United Kingdom,20100621,20100621,Male,20100623,0,0,0,0,34.086,215.878,0,181.792,0
1676,1,Canada,20100621,20100621,Female,20100623,1,0,13.81,0,13.518,23.424,0,9.906,0
133,1,Sweden,20100615,20090927,Male,20100623,0,2.335,0,0,-0.117,2.867,0,0.543,2.335
2062,1,New Zealand,20100628,20100628,Male,20100628,1,7.977,6.44,0,-33.065,782.991,0,768.645,7.977
517,0,United Kingdom,20100603,20100603,Male,20100707,1,0,34.73,0,33.882,51.952,0,18.07,0
2124,1,United Kingdom,20100629,20100629,Male,20100714,1,6.588,58.19,0,-451.854,5114.215,0,5539.375,6.588
2124,1,United Kingdom,20100629,20100629,Male,20100716,0,0,0,0,2.284,24.893,0,22.61,0
1920,0,Finland,20100627,20100625,Male,20100804,0,0,0,0,1.85,1.85,0,0,0
353,1,Norway,20100601,20100531,Male,20100815,0,1.926,0,0,-0.021,1.926,0,0.021,1.926
356,1,Netherlands,20100601,20100531,Male,20100815,0,2.48,0,0,-0.03,43.65,0,41.2,2.48
1668,1,Netherlands,20100621,20100621,Male,20100815,0,11.34,0,0,-0.34,39,0,28,11.34
1901,0,Germany,20100627,20100625,Male,20100817,1,4.19,20,0,21.69,1360.75,0,1334.87,4.19
1975,1,United Kingdom,20100626,20100626,Male,20100817,0,0,0,0,0,0,0,0,0
1059,1,Norway,20100611,20100611,Male,20100818,1,0.962,21.91,0,-13.826,196.406,0,207.615,0.962
1871,0,Germany,20100624,20100624,Female,20100825,0,0.75,0,0,-0.18,4.88,0,4.13,0.75
1975,1,United Kingdom,20100626,20100626,Male,20100825,0,0.702,0,0,-0.054,2.16,0,1.512,0.702
1202,0,New Zealand,20100614,20100614,Male,20100827,2,24.167,21.78,0,-73.492,1769.939,0,1819.264,24.167
1315,0,Netherlands,20100615,20100615,Male,20100827,0,4.25,0,0,15.81,231.73,0,211.67,4.25
1393,1,Netherlands,20100616,20100616,Female,20100827,1,5.7,50,0,79.367,1175.32,97.75,1119.76,73.29
1503,1,New Zealand,20100618,20100618,Male,20100827,1,12.581,31.12,0,30.367,319.905,0,276.956,12.581
1202,0,New Zealand,20100614,20100614,Male,20100831,9,0.133,129.76,0,256.685,805.935,0,549.117,0.133
2155,0,Switzerland,20100629,20100629,Female,20100925,0,0,0,0,0.15,0.15,0,0,0
1503,1,New Zealand,20100618,20100618,Male,20100906,1,0.484,13.64,0,-18.378,41.488,0,57.943,0.484
1503,1,New Zealand,20100618,20100618,Male,20100909,1,0,8.45,4.223,-18.177,10.582,19.408,37.188,15.203
252,0,United Kingdom,20100618,20100409,Male,20100911,0,0,0,0,-341.315,0,0,341.315,0
1559,1,United Kingdom,20100619,20100619,Male,20100914,1,0,113.72,27.738,112.688,0,72.179,0,44.094
2400,1,New Zealand,20110602,20110527,Male,20110602,1,0,47.87,59.84,45.506,0,1386.772,0,1329.297
2272,0,Austria,20110605,20110202,Female,20110605,1,0,10,0,10,226.55,0,216.55,0
2588,1,Finland,20110603,20110603,Female,20110605,1,0,60,200,-0.2,0,307,0,107.2
2617,1,United Kingdom,20110603,20110603,Female,20110605,0,0.057,0,0,0.057,0.114,0,0,0.057
3257,0,Sweden,20110612,20110612,Male,20110612,1,0,49,49,49.1,0,49.05,0,0
2227,0,United Kingdom,20110613,20100913,Male,20110613,1,0,11.35,0,0,0,0,0,0
3807,0,United Kingdom,20110615,20110615,Male,20110615,1,0,114.33,114.33,114.121,0,235.335,0,121.213
3810,0,Norway,20110615,20110615,Male,20110615,1,0,105.9,105.8,-0.106,0,0,0,0
3814,0,United Kingdom,20110615,20110615,Male,20110615,1,0,11.46,0,-25.794,11.464,0,37.258,0
3056,1,Sweden,20110612,20110609,Female,20110616,0,0.343,0,0,0.186,0.529,0,0,0.343
3943,0,United Kingdom,20110616,20110616,Male,20110616,1,0,11.43,0,11.431,11.431,0,0,0
3832,1,Finland,20110615,20110615,Male,20110617,1,0,50,0,50,122.5,0,72.5,0
199,1,Finland,20100621,20100218,Female,20100908,0,1,0,0,-0.01,27,0,26.01,1
40,1,Finland,20100621,20080520,Male,20100909,0,0,0,0,-16,0,0,16,0
2053,0,Norway,20100627,20100627,Male,20100915,2,0,43.68,0,0,0,0,0,0
500,1,Netherlands,20100602,20100602,Male,20100603,2,0,40,0,39.992,507.06,0,467.068,0
501,1,Norway,20100602,20100602,Male,20100603,0,0,0,0,-474.378,300.105,989.82,55.546,1708.757
553,0,Norway,20100603,20100603,Male,20100603,1,1.158,21.06,63.18,21.017,1.158,167.111,0,105.132
660,0,Canada,20100605,20100605,Female,20100606,0,0.99,0,0,0,1.188,0,0.198,0.99
870,1,Finland,20100608,20100608,Male,20100610,6,0,500,0,-275.52,3256.5,0,3532.02,0
909,0,Netherlands,20100608,20100608,Female,20100610,1,2.62,100,25,100.13,50.4,414.5,16.5,423.27
918,0,Germany,20100610,20100609,Male,20100610,1,0,100,100,100,0,480,0,380
680,0,Germany,20100605,20100605,Male,20100613,0,3.6,0,10,0.1,0.1,64.1,0,54.1
690,1,Netherlands,20100607,20100606,Male,20100613,0,0,0,0,12.94,0,0,0,1.15
680,0,Germany,20100605,20100605,Male,20100614,0,0.45,0,0,-0.45,0,0,0,0.45
690,1,Netherlands,20100607,20100606,Male,20100614,0,0,0,-5,5,0,0,0,0
749,1,Germany,20100607,20100606,Male,20100614,2,13.93,35,0,-139.97,851.14,0,977.18,13.93
1259,0,Austria,20100614,20100614,Male,20100614,1,0,100,0,1.5,20,0,18.5,0
145,1,United Kingdom,20100619,20091022,Female,20100620,0,0.852,0,0,41.888,11.352,121.225,0.966,89.714
501,1,Norway,20100602,20100602,Male,20100620,1,0,105.7,105.7,105.7,0,295.96,0,190.26
512,0,United Kingdom,20100603,20100603,Male,20100620,0,0,0,-0.454,0.454,0,0,0,0
554,0,Netherlands,20100612,20100603,Male,20100620,0,0,0,-10,10,0,0,NA,0
670,1,Sweden,20100607,20100605,Male,20100620,0,0,0,-10.26,10.26,0,0,0,0
1586,1,Finland,20100620,20100620,Female,20100620,2,1.9,40,0,31.87,99.9,0,66.13,1.9
1521,1,Sweden,20100618,20100618,Male,20100625,3,0.246,614.4,0,407.993,736.87,0,328.602,0.246
1904,1,Sweden,20100625,20100625,Male,20100625,1,0.205,51.2,133.12,51.149,0.538,295.45,0.384,162.534
40,1,Finland,20100621,20080520,Male,20100704,0,0,0,0,-16.575,0,15,-0.005,31.58
1938,1,Norway,20100626,20100626,Male,20100711,3,0,269.64,0,-275.921,8209.723,0,8472.942,0
749,1,Germany,20100607,20100606,Male,20100713,3,3.4,80,0,-112.62,418.24,0,527.46,3.4
1539,1,Germany,20100630,20100619,Male,20100714,0,1.4,0,0,-1.4,0,0,0,1.4
670,1,Sweden,20100607,20100605,Male,20100718,0,0,0,0,-15.153,274.835,0,289.988,0
749,1,Germany,20100607,20100606,Male,20100718,1,6.98,15,0,57.38,124.75,12.28,102.39,7.26
870,1,Finland,20100608,20100608,Male,20100718,8,0,316,0,315.92,1822.6,0,1506.68,0
1201,0,Norway,20100613,20100613,Male,20100718,1,0,21.96,0,15.044,86.54,0.214,65.203,0
40,1,Finland,20100621,20080520,Male,20100727,0,0,0,0,-12.48,29.5,0,41.98,0
142,0,Ireland,20100624,20091018,Female,20100810,3,17,2562.5,0,247.4,14809.6,0,14545.2,17
40,1,Finland,20100621,20080520,Male,20100814,0,0,0,0,-5.5,10,0,15.5,0
40,1,Finland,20100621,20080520,Male,20100815,0,1.15,0,0,0.17,1.8,0,0.48,1.15
344,0,United Kingdom,20100629,20100529,Male,20100818,0,0.878,0,0,930.659,1641.014,0,709.476,0.878
1607,0,United Kingdom,20100620,20100620,Male,20100819,0,0,0,0,0,0,0,0,0
1929,0,United Kingdom,20100625,20100625,Female,20100819,4,3.229,43.8,0,21.969,722.421,0,675.304,3.229
142,0,Ireland,20100624,20091018,Female,20100826,0,10.97,0,0,408.2,1724,0,1304.83,10.97
690,1,Netherlands,20100607,20100606,Male,20100903,0,0,0,0,-1.6,16.4,0,18,0
749,1,Germany,20100607,20100606,Male,20100903,0,11.75,0,0,-3.959,173.6,0,163.819,11.75
40,1,Finland,20100621,20080520,Male,20100904,0,1.15,0,0,1.1,30.37,0,28.12,1.15
1744,1,United Kingdom,20100622,20100622,Male,20100907,0,17.434,0,0,0.11,20.747,0,3.203,17.434
2113,1,Canada,20100630,20100629,Female,20100908,1,0,7.02,0,6.859,13.314,0,6.455,0
1446,0,Germany,20100617,20100617,Male,20100916,1,0,25,12.5,25.2,20.01,129.09,19.81,116.59
1867,1,New Zealand,20100624,20100624,Male,20100916,1,0,6.25,3.052,6.129,0.024,3.948,0,0.897
2029,0,Norway,20100627,20100627,Male,20100921,1,0,22,0,4.742,21.46,0,16.718,0
637,1,Netherlands,20100605,20100605,Male,20100605,4,0,950,0,949.5,2283.5,0,1334,0
821,0,Norway,20100607,20100607,Female,20100607,3,0,177.65,219.45,177.65,0,2359.088,0,2139.638
1200,0,Netherlands,20100613,20100613,Male,20100613,1,0,15,0,15,779,0,764,0
1201,0,Norway,20100613,20100613,Male,20100613,1,6.877,21.67,63.42,-76.479,10.361,1240.064,3.632,1183.513
1200,0,Netherlands,20100613,20100613,Male,20100615,1,1.14,20,20,19.96,1.1,169,0,150.14
1201,0,Norway,20100613,20100613,Male,20100616,1,2.135,21.67,10.57,19.622,2.96,118.648,0.74,110.214
1259,0,Austria,20100614,20100614,Male,20100616,0,0,0,0,-31.5,0,0,31.5,0
1513,0,Iceland,20100618,20100618,Male,20100618,1,0,30.75,0,29.92,35.6,0,5.68,0
1472,1,Norway,20100618,20100618,Female,20100619,0,0,0,0,-0.005,83.714,0,83.72,0
106,1,Sweden,20100616,20090704,Male,20100817,0,0.621,0,0,0.032,13.36,0,12.708,0.621
650,1,Germany,20100605,20100605,Male,20100819,0,0,0,0,45.66,45.66,0,0,0
1800,0,Finland,20100623,20100623,Female,20100827,0,0,0,0,-6.9,1603.2,0,1610.1,0
2098,1,United Kingdom,20100629,20100629,Male,20100917,2,0,233.3,0,227.52,522.114,0,294.594,0
2184,1,Canada,20100630,20100630,Male,20100917,0,0,0,0,127.452,429.241,0,301.79,0
575,1,Norway,20100604,20100604,Male,20100605,4,0,86.42,-0.053,85.088,316.116,1.052,232.132,0
943,0,United Kingdom,20100609,20100609,Male,20100609,1,1.62,116.84,113.99,-795.535,10.235,3772.696,10.007,4568.575
920,0,Austria,20100609,20100609,Male,20100617,0,0,0,0,11.99,33.4,0,21.41,0
16,1,Sweden,20100605,20070518,Male,20100619,5,14.08,430.08,0,429.807,4024.218,0,3580.331,14.08
295,1,United Kingdom,20100624,20100513,Male,20100624,1,0.682,23.29,0,22.62,158.303,0,135.001,0.682
1766,0,United Kingdom,20100623,20100623,Male,20100624,0,0,0,0,0,0,0,0,0
1787,0,United Kingdom,20100623,20100623,Male,20100624,0,0,0,0,30.086,47.72,0,17.634,0
1839,1,United Kingdom,20100624,20100624,Male,20100624,1,0,34.94,34.086,33.065,0,77.375,0,44.312
1262,1,United Kingdom,20100613,20100613,Male,20100625,2,0,23.28,0,-13.066,77.83,0,90.896,0
1378,1,Sweden,20100616,20100616,Male,20100625,2,13.8,50,0,43.81,57.61,0,0,13.8
1688,0,Norway,20100624,20100622,Male,20100628,1,0,21.67,0,0,0,0,0,0
1740,1,Finland,20100622,20100622,Male,20100628,0,0,0,0,2,2,0,0,0
1800,0,Finland,20100623,20100623,Female,20100628,0,0,0,0,-20.4,19.2,808.8,6.8,841.6
1815,0,United Kingdom,20100625,20100624,Male,20100628,6,0,139.75,0,68.627,1079.934,0,1011.181,0
1821,0,Germany,20100624,20100624,Male,20100628,0,0,0,0,-915.9,0,291,0,1206.9
132,1,Germany,20100629,20090927,Male,20100629,1,0,10,10,-12.313,0,10,0.003,22.31
1922,1,Canada,20100625,20100625,Male,20100629,0,0,0,0,3.94,9.025,0,5.085,0
1971,1,United Kingdom,20100626,20100626,Male,20100629,0,0,0,0,28.405,28.405,0,0,0
2151,0,Russian Federation,20100629,20100629,Male,20100629,1,0,9.14,0,8.862,75.004,0,66.142,0
295,1,United Kingdom,20100624,20100513,Male,20100630,0,0,0,0,90.966,156.479,0,65.514,0
2030,0,Germany,20100627,20100627,Male,20100630,0,0,0,0,200,0,100,0,0
1262,1,United Kingdom,20100613,20100613,Male,20100706,0,0,0,0,-975.77,3111.365,0,4087.135,0
1333,0,New Zealand,20100615,20100615,Female,20100706,2,0,22.75,35.069,9.97,0.289,72.68,0.205,49.607
1480,0,United Kingdom,20100618,20100618,Male,20100706,2,0.114,1746.09,0,757.281,4180.226,0,3387.457,0.114
1555,1,Norway,20100619,20100619,Male,20100706,1,0,53.76,0,52.66,63.989,0,11.329,0
1555,1,Norway,20100619,20100619,Male,20100709,2,0,107.47,0,-106.783,354.092,0,459.204,0
1800,0,Finland,20100623,20100623,Female,20100709,2,0,200,0,-0.59,1130.15,0,1130.74,0
1054,1,Canada,20100611,20100611,Female,20100728,1,0,10.47,0,10.203,18.803,0,8.599,0
1262,1,United Kingdom,20100613,20100613,Male,20100728,5,0,280.4,0,141.84,573.245,0,431.405,0
1262,1,United Kingdom,20100613,20100613,Male,20100729,2,0,85.95,0,215.618,680.147,0,464.529,0
1555,1,Norway,20100619,20100619,Male,20100729,1,2.744,55.15,0,53.854,90.492,0,33.894,2.744
1787,0,United Kingdom,20100623,20100623,Male,20100729,0,0,0,0,-8.452,147.073,0,155.525,0
1800,0,Finland,20100623,20100623,Female,20100729,0,124.59,0,0,-90.58,833.2,0,799.19,124.59
276,1,Canada,20100610,20100507,Female,20100731,1,0,9.57,0,9.522,16.813,0,7.291,0
288,1,Canada,20100615,20100510,Male,20100815,0,0.033,0,0,-0.033,0,0,0,0.033
1452,0,United Kingdom,20100620,20100617,Female,20100815,0,0,0,0,0,0,0,0,0
1555,1,Norway,20100619,20100619,Male,20100816,1,0,21.98,0,21.452,79.542,0,58.091,0
1555,1,Norway,20100619,20100619,Male,20100817,1,0,22.08,0,21.7,73.236,0,51.535,0
650,1,Germany,20100605,20100605,Male,20100820,0,0,0,0,-166.978,0,0,166.978,0
1262,1,United Kingdom,20100613,20100613,Male,20100820,0,0,0,0,81.543,85.043,97.406,0,100.905
1262,1,United Kingdom,20100613,20100613,Male,20100908,9,0,504.58,0,171.727,2976.77,0,2805.042,0
